Latitude,Longtitude,Noise (PLdB)
15,-112,85.04175996096697
15,-111,85.15621700759345
15,-110,84.42697647949944
15,-109,83.02400212569373
15,-108,82.31079346239409
15,-107,82.29778976612567
15,-106,84.10783957600304
15,-105,85.72480485421039
15,-104,86.7236573068653
15,-103,87.40090849441843
15,-102,87.53567359359928
15,-101,87.66004557660332
15,-100,87.70513469533391
15,-99,87.51322069034958
15,-98,87.60495623291993
15,-97,87.73050574800831
15,-96,87.6733594282453
15,-95,87.53290691293981
15,-94,87.62658081947454
15,-93,87.35975590047612
15,-92,87.7230697759199
15,-91,88.07086265255435
15,-90,87.87839942923972
15,-89,88.09080251208255
15,-88,86.65891893168448
15,-87,86.93308609798774
15,-86,85.3935795362598
15,-85,84.03741013493328
15,-84,83.85596346177607
15,-83,82.80643503093695
15,-82,81.92617823193655
15,-81,81.3893175170773
15,-80,81.05565688444597
15,-79,81.45961443348969
15,-78,81.80260504689886
15,-77,81.9665391099303
15,-76,81.76606753188017
15,-75,81.66659077547224
15,-74,81.5783268312276
15,-73,81.21745879023115
15,-72,80.8602257900125
15,-71,80.75374705338083
15,-70,80.78955627940717
15,-69,80.7606234482134
15,-68,81.82064708266061
15,-67,81.93211243803142
15,-66,82.49023356323198
15,-65,83.21967802064614
15,-64,82.64861800459454
15,-63,83.2371513151997
15,-62,83.65066496072649
15,-61,83.49622119054588
15,-60,83.45538903728634
15,-59,83.45035585237228
15,-58,83.42716066859404
15,-57,83.4424697103834
15,-56,82.77067293700006
15,-55,82.87959225596316
15,-54,82.77195358587284
15,-53,81.54564849148974
16,-144,81.84862358803949
16,-143,81.26719280974766
16,-142,80.53487095253189
16,-141,79.59446726049697
16,-140,79.29211440193563
16,-139,79.03035786905495
16,-138,79.17271904122202
16,-137,79.82548743548526
16,-136,79.59883952776937
16,-135,79.24694700492786
16,-134,79.25727556506236
16,-133,79.69098762641877
16,-132,79.99495784817537
16,-131,80.10511957629151
16,-130,80.34787499289496
16,-129,81.39310932931764
16,-128,81.85651772704549
16,-127,81.97879658622578
16,-126,82.33312924373857
16,-125,82.93267983997832
16,-124,83.49477146230117
16,-123,83.29335056155185
16,-122,82.17522191468225
16,-121,82.0675892900593
16,-120,81.22565786194501
16,-119,81.11036933779451
16,-118,82.8963618701762
16,-117,83.65136249642384
16,-116,83.65715595577245
16,-115,83.12245613535066
16,-114,83.56372126543593
16,-113,84.36600874985793
16,-112,84.60000070144244
16,-111,85.15647458389094
16,-110,84.72047451749472
16,-109,83.88393953295832
16,-108,82.52850135606027
16,-107,82.10043088120071
16,-106,84.48561379682371
16,-105,85.86498347965409
16,-104,87.42927870121095
16,-103,87.97881093276055
16,-102,88.09716376354177
16,-101,88.04757154834306
16,-100,88.10875213584553
16,-99,87.69492991583226
16,-98,87.39108209863414
16,-97,87.86171775520388
16,-96,87.7694177290928
16,-95,87.79750754293323
16,-94,87.56586460893679
16,-93,87.9247257920501
16,-92,87.47957793231461
16,-91,87.37899990783635
16,-90,87.38075185250258
16,-89,87.35827810578168
16,-88,86.4620404642375
16,-87,86.67469807961687
16,-86,85.5679955079718
16,-85,84.99589723903313
16,-84,84.62530902548122
16,-83,83.37851993999433
16,-82,82.35474720063358
16,-81,81.43674289698592
16,-80,81.3436446503944
16,-79,81.98864806116372
16,-78,82.42637012351824
16,-77,82.33427435279947
16,-76,82.24713758361634
16,-75,82.301870088408
16,-74,82.52045678983549
16,-73,82.53279931715035
16,-72,82.00183094787693
16,-71,81.31722439421013
16,-70,80.81081292319253
16,-69,80.40605838572031
16,-68,81.29974028389609
16,-67,81.15472671015083
16,-66,81.9864829474551
16,-65,82.35979415664113
16,-64,82.3934157209863
16,-63,82.61964835407898
16,-62,82.86635596739818
16,-61,82.41022155907902
16,-60,82.30415798269385
16,-59,82.38321587545735
16,-58,82.22204462447004
16,-57,82.30410107949814
16,-56,82.40608138776349
16,-55,82.41886605194848
16,-54,82.49304939165086
16,-53,82.37629930700359
17,-144,80.87979460678983
17,-143,80.6971780018729
17,-142,81.48296284196672
17,-141,81.49358098861488
17,-140,81.7149076063755
17,-139,80.54900361618574
17,-138,80.23105042728284
17,-137,79.94904744353957
17,-136,80.0471985457049
17,-135,79.94985926688193
17,-134,79.86647945145464
17,-133,80.37877590985227
17,-132,79.61083864509192
17,-131,79.98550468581129
17,-130,80.02118065824166
17,-129,81.21951871469207
17,-128,82.3901167392894
17,-127,83.0310686829877
17,-126,83.31274997348075
17,-125,83.25940823694705
17,-124,83.0846765342318
17,-123,82.94316671408973
